index,beer/ABV,beer/beerId,beer/brewerId,beer/name,beer/style,review/appearance,review/aroma,review/overall,review/palate,review/taste,review/text,review/timeStruct,review/timeUnix,user/ageInSeconds,user/birthdayRaw,user/birthdayUnix,user/gender,user/profileName
1,3.6,8930,2001,Beer_1,Style_1,4.6,4.5,1.1,3.7,3.0,Sample review text 1,{},1270694890,1370639193,1994-01-17,634938105,Female,User_1
2,3.1,7517,2838,Beer_2,Style_2,2.5,4.3,1.6,3.1,4.3,Sample review text 2,{},1633758530,1010221032,1991-05-16,1087792070,Male,User_2
3,10.9,3422,610,Beer_3,Style_3,3.8,3.6,4.3,1.6,2.3,Sample review text 3,{},1095407031,1549421939,1998-01-13,677350097,Other,User_3
4,6.2,9865,1591,Beer_4,Style_4,3.4,2.8,3.6,3.1,2.6,Sample review text 4,{},1473103895,1295916169,1996-06-18,675891583,Female,User_4
5,12.0,6985,2218,Beer_5,Style_5,1.2,4.7,2.5,4.7,3.8,Sample review text 5,{},1657713136,1331020882,1991-02-15,891117825,,User_5
6,7.0,7947,2920,Beer_6,Style_6,1.3,4.3,3.0,1.1,4.7,Sample review text 6,{},1736299724,903422046,1992-04-12,760449267,,User_6
7,4.7,9784,695,Beer_7,Style_7,1.1,3.0,4.6,3.6,1.4,Sample review text 7,{},1522386655,1371867528,1990-06-15,1028741257,Other,User_7
8,10.0,8635,625,Beer_8,Style_8,2.5,3.8,3.5,1.3,4.4,Sample review text 8,{},1467521124,831734812,1991-02-16,1091972971,Other,User_8
9,11.3,4668,761,Beer_9,Style_9,4.0,3.3,2.6,1.0,4.2,Sample review text 9,{},1225672911,1342254756,1994-08-11,870411265,Male,User_9
10,10.3,7462,1423,Beer_10,Style_0,1.7,3.4,1.5,1.6,2.3,Sample review text 10,{},1722587426,1128456180,1997-07-17,1055943099,,User_10
11,9.7,4138,2321,Beer_11,Style_1,3.4,2.3,2.2,2.7,2.4,Sample review text 11,{},1707540273,1837134117,1992-08-15,818026668,Other,User_11
12,6.0,5509,2702,Beer_12,Style_2,2.2,2.8,4.9,4.2,1.2,Sample review text 12,{},1637038224,1490407895,1991-06-14,933323644,Other,User_12
13,3.6,3500,2104,Beer_13,Style_3,4.2,1.3,2.7,2.1,1.1,Sample review text 13,{},1289503705,725856638,1992-01-16,1083537159,,User_13
14,4.8,3793,607,Beer_14,Style_4,4.2,2.4,2.9,3.5,2.9,Sample review text 14,{},1579000245,1343443271,1991-01-10,768066873,Male,User_14
15,7.0,5293,2582,Beer_15,Style_5,4.1,3.8,3.0,2.6,1.4,Sample review text 15,{},1278992336,1289127905,1996-04-10,871856630,Male,User_15
16,11.6,6399,1154,Beer_16,Style_6,3.1,4.8,4.5,1.9,1.8,Sample review text 16,{},1267985509,1211130040,1998-06-13,1099703430,,User_16
17,9.5,1299,2513,Beer_17,Style_7,2.1,4.9,3.4,3.1,4.4,Sample review text 17,{},1365781680,1120881881,1993-07-14,988173142,,User_17
18,10.5,2906,1497,Beer_18,Style_8,4.2,3.2,3.8,4.2,3.3,Sample review text 18,{},1374416257,1856730651,1991-05-11,954557127,,User_18
19,5.5,3485,2963,Beer_19,Style_9,1.7,3.4,2.6,4.3,3.5,Sample review text 19,{},1099497287,1484054683,1993-02-14,785585556,,User_19
20,9.2,8459,784,Beer_20,Style_0,2.2,1.7,1.1,4.4,1.7,Sample review text 20,{},1065167469,1719935533,1995-06-18,939872736,,User_20
21,10.8,9398,1970,Beer_21,Style_1,1.7,3.8,4.7,2.4,4.3,Sample review text 21,{},1120646596,1840254965,1993-05-14,873252014,Other,User_21
22,7.3,7120,526,Beer_22,Style_2,3.7,1.3,4.8,4.2,4.5,Sample review text 22,{},1103033702,1319490261,1995-04-15,963233664,Female,User_22
23,6.9,9485,2774,Beer_23,Style_3,3.7,2.1,4.8,1.8,3.1,Sample review text 23,{},1077169800,1663690422,1991-04-16,992262411,,User_23
24,9.5,2873,2091,Beer_24,Style_4,3.6,3.7,4.8,4.0,4.7,Sample review text 24,{},1253996941,1813848357,1992-06-13,979335242,Female,User_24
25,8.0,7102,1891,Beer_25,Style_5,2.7,2.2,4.3,4.8,4.4,Sample review text 25,{},1350146074,1234524020,1998-07-14,1009289519,Male,User_25
26,11.9,7172,1347,Beer_26,Style_6,1.4,1.2,3.7,1.1,3.9,Sample review text 26,{},1691688072,1658688619,1998-02-15,924861439,Other,User_26
27,6.8,7322,1628,Beer_27,Style_7,4.6,4.3,4.4,2.8,3.9,Sample review text 27,{},1002908003,1630987921,1997-05-14,780846813,Female,User_27
28,4.6,3088,517,Beer_28,Style_8,3.0,2.2,3.4,3.6,1.4,Sample review text 28,{},1635045367,1420533707,1992-07-11,704301571,Male,User_28
29,7.2,8637,2590,Beer_29,Style_9,2.6,1.3,1.5,3.8,2.1,Sample review text 29,{},1104741748,1471863910,1992-07-11,681627553,Male,User_29
30,5.1,6311,2636,Beer_30,Style_0,3.4,1.3,2.6,1.7,1.3,Sample review text 30,{},1386292886,1558916356,1997-04-17,983801814,Male,User_30
31,8.1,7487,656,Beer_31,Style_1,1.8,2.0,4.9,4.9,1.0,Sample review text 31,{},1566601593,1452943592,1997-08-17,900847007,,User_31
32,4.1,7880,1789,Beer_32,Style_2,1.5,1.7,2.4,3.5,1.6,Sample review text 32,{},1375124213,1077750157,1997-08-18,655943036,Other,User_32
33,11.5,5721,2681,Beer_33,Style_3,2.6,4.1,4.5,1.7,4.5,Sample review text 33,{},1717010504,1699202987,1991-01-17,927784578,Male,User_33
